Customer ID,Location,Age,Ownership duration,Monthly Payments KSH,Contacts,Swap Agent
1,EastLeigh,30,3 years,1200,20,0
2,Buru Buru,18,2 months,60,10,1
3,Donholm,60,1 years,180,44,0
4,Lavington,25,2 years,200,30,0
5,Kileleshwa,30,2 weeks,300,10,1
6,Kitusuru,45,1 month,900,55,0
7,EastLeigh,50,3 years,120,20,0
8,Buru Buru,78,1 months,60,10,1
9,Donholm,26,1 years,180,44,0
10,Dagoretti,23,2 years,200,30,0
11,Kasarani,33,2 weeks,300,10,1
12,Kitusuru,45,1 month,1200,55,0
13,Umoja I,30,2 months,800,100,0
14,Pumwani,33,6 months,60,90,1
15,Umoja II,26,1 years,180,44,0
16,Ngara,23,2 years,2000,30,0
17,Kariokor,33,2 weeks,3000,10,1
18,Mihang'o,45,1 month,1200,55,0
19,Makadara,66,1 weeks,50,100,0
20,Dandora Area III,78,1 months,60,10,1
21,Roysambu,26,1 years,180,44,0
22,Mutu-ini,23,2 years,2000,30,0
23,Kilimani,33,2 weeks,300,10,1
24,Ruai,45,1 month,1200,55,0
25,Ridgeways,66,1 weeks,50,100,0
26,Riruta,78,1 months,60,10,1
27,Donholm,26,1 years,180,44,0
28,Dandora Area IV,23,2 years,200,30,0
29,Bahati,33,2 weeks,3000,10,1
30,Karura,45,1 month,1200,,
